#g    delg     r   delr
12.25 0.001 12.25 0.001
12.75 0.001 12.75 0.001
13.25 0.001 13.25 0.001
13.75 0.001 13.75 0.001
14.25 0.001 14.25 0.001
14.75 0.001 14.75 0.001
15.25 0.001 15.25 0.001
15.75 0.001 15.75 0.001
16.25 0.001 16.25 0.001
16.75 0.001 16.75 0.001
17.25 0.001 17.25 0.001
17.75 0.001 17.75 0.001
18.25 0.001 18.25 0.002
18.75 0.002 18.75 0.002
19.25 0.002 19.25 0.003
19.75 0.003 19.75 0.004
20.25 0.004 20.25 0.006
20.75 0.006 20.75 0.008
21.25 0.008 21.25 0.011
21.75 0.011 21.75 0.017
22.25 0.016 22.25 0.025
22.75 0.024 22.75 0.038
23.25 0.037 23.25 0.059
23.75 0.057 23.75 0.09
24.25 0.086 24.25 0.133
24.75 0.122 24.75 0.183
25.25 0.169 25.25 0.248
25.75 0.236 25.75 0.357
