#g    delg     r   delr
8.25 4.98697e-05 8.25 5.3928e-05
8.75 6.43284e-05 8.75 6.26242e-05
9.25 7.3358504e-05 9.25 8.44749e-05
9.75 9.48862e-05 9.75 0.000104626
10.25 0.000122894 10.25 0.000128525
10.75 0.000155899 10.75 0.000154898
11.25 0.000194981 11.25 0.000208387
11.75 0.0002472605 11.75 0.000254763
12.25 0.000311293 12.25 0.000315631
12.75 0.000401921 12.75 0.000418021
13.25 0.000517028 13.25 0.00056865555
13.75 0.00837734 13.75 0.009145889
14.25 0.01413625 14.25 0.0123422
14.75 0.0145557 14.75 0.0133553
15.25 0.0150993 15.25 0.013757
15.75 0.014759449 15.75 0.0138275
16.25 0.0149092 16.25 0.0139059
16.75 0.0150056 16.75 0.0140352
17.25 0.01513605 17.25 0.0143226
17.75 0.0154902 17.75 0.0145062
18.25 0.015760351 18.25 0.015092
18.75 0.0165149 18.75 0.0159855
19.25 0.01755115 19.25 0.0177344
19.75 0.0196153 19.75 0.0213374
20.25 0.0233319 20.25 0.0280066
20.75 0.02992335 20.75 0.03912195
21.25 0.0411455 21.25 0.0566382
21.75 0.060116 21.75 0.08411395
22.25 0.0901473 22.25 0.122349
22.75 0.13550651 22.75 0.177782
