# distance (kpc), flyby_velocity (km/s), impact_parameter (r_s), magnitude_limit (mag), latitude (deg), gap_fill (True/False), survey, surface_brightness (mag/arcsec^2), minimum_mass (M_sun)
10.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 30.00, 272352.73
10.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 31.00, 636423.44
10.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 32.00, 1895154.50
10.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 33.00, 48960595.12
20.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 30.00, 451488.34
20.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 31.00, 1013428.26
20.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 32.00, 7066605.59
20.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 33.00, 173250470.12
10.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 30.00, 186041.13
10.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 31.00, 416795.95
10.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 32.00, 1042478.49
10.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 33.00, 10582340.31
20.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 30.00, 272932.22
20.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 31.00, 594308.16
20.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 32.00, 1400730.15
20.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 33.00, 25319940.72
10.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 30.00, 1007866.45
10.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 31.00, 8988332.26
10.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 32.00, 263950110.42
10.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 33.00, 9178073575.71
20.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 30.00, 1444904.13
20.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 31.00, 23909472.70
20.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 32.00, 621064518.97
20.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 33.00, 20251255013.72
30.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 30.00, 556152.73
10.00, 150.00, 1.00, 24.43, 60.00, 1, CFHT, 30.00, 430715.71
10.00, 150.00, 1.00, 24.43, 60.00, 1, CFHT, 31.00, 1081285.13
30.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 31.00, 1189066.13
10.00, 150.00, 1.00, 24.43, 60.00, 1, CFHT, 32.00, 11995515.10
30.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 32.00, 9857010.79
30.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 33.00, 212023517.27
10.00, 150.00, 1.00, 24.43, 60.00, 1, CFHT, 33.00, 368132794.06
20.00, 150.00, 1.00, 24.43, 60.00, 1, CFHT, 30.00, 647921.07
40.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 30.00, 649982.57
20.00, 150.00, 1.00, 24.43, 60.00, 1, CFHT, 31.00, 1545345.35
40.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 31.00, 1341319.69
20.00, 150.00, 1.00, 24.43, 60.00, 1, CFHT, 32.00, 33678642.03
40.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 32.00, 13470795.62
20.00, 150.00, 1.00, 24.43, 60.00, 1, CFHT, 33.00, 983958113.67
40.00, 150.00, 1.00, 25.32, 60.00, 1, LSST, 33.00, 266965997.02
30.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 30.00, 374990.86
30.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 31.00, 793878.04
30.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 32.00, 2593923.66
30.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 33.00, 50581065.74
40.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 30.00, 442794.97
40.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 31.00, 909607.65
40.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 32.00, 3488643.24
40.00, 150.00, 1.00, 26.58, 60.00, 1, LSST10, 33.00, 60283119.40
30.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 30.00, 4154668.85
30.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 31.00, 67467511.15
30.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 32.00, 1612278067.97
30.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 33.00, 49688591670.36
40.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 30.00, 13505365.54
40.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 31.00, 217234064.46
40.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 32.00, 5151509787.49
40.00, 150.00, 1.00, 22.35, 60.00, 1, SDSS, 33.00, 146947554673.30
